,Ratings,Date,Country,New_Reviews
45,1,18th September 2023,United Kingdom,trip verifi check secur clearanc quick lhr wife use galleri north loung easi get seat good buffet breakfast option flight board time flight depart time seat club europ seat seem get smaller legroom ft tight cabin crew servic fine chose full english breakfast ok lot water bottom bowl flight land time overal ok flight club europ feel premium day
46,6,16th September 2023,United Kingdom,not verifi british airway confirm worst airlin uk last minut cancel explan refus book anoth airlin arrang happen use nation airlin
47,1,15th September 2023,South Africa,trip verifi worst ba experi suppos fli itali septemb arriv tambo intern airport readi check bag alreadi check onlin previou even board pass readi counter told load flight connect flight cancel inform sent regard beforehand team check counter tri get anoth flight even flight avail manag get anoth flight follow even lufthansa itali via frankfurt howev miss first part trip arriv day half later suppos upon move flight ask ba staff whether flight back still valid everyth order assur correct fli back south africa septemb upon check book inform notic ba account first flight milan london miss book connect london johannesburg still spend entir morn custom helplin two differ oper pick instanc moment proceed give book refer number call get drop current seem like arriv airport monday without flight
48,2,13th September 2023,Canada,trip verifi daughter deni board busi class flight madrid heathrow march first leg return flight victoria canada reason given deni board check staff british airway counter madrid said agent told us call british airway three hour earli flight valid passport mani tri final reach british airway phone told call expedia book flight expedia confirm bump flight explan expedia began long process find altern flight next hour numer call expedia british airway incred next avail flight day later april almost unbeliev mani mani tri best could even though busi class ticket part problem appar rule not allow chang rout segment flight nine day delay major problem us miss work daughter miss school receiv compens british airway penalti fee not reimburs expens stay nine extra day return began british airway onlin complaint process submit support document receiv email repli case refer number noth sent numer follow email receiv repli month later still not heard british airway shock definit worst airlin servic receiv thousand flight mani decad patient person first time comment type forum think public made awar extrem poor custom servic british airway
49,1,11th September 2023,United Kingdom,trip verifi despit board usual free lhr group call board whilst passeng agre check bag gate get board anyon els howev servic board impecc superb crew friendli attent interact passeng gener appear enjoy job like ba old day best food choic qualiti seem improv beef cheek thank even club kitchen appear return old style club seat least better feel less cramp
50,8,10th September 2023,United Kingdom,not verifi flight cancel crew th septemb not peak holiday period bad manag ba sent gate left stand hour flight cancel day ba continu provid poor servic nation disgrac
51,5,9th September 2023,Kuwait,not verifi worst servic ever baggag not arriv time flight delay never fli even food bad servic
52,1,6th September 2023,Germany,trip verifi flight book holiday delay hour wifi avail flight food drink basic expens cannot recommend
53,1,4th September 2023,United Kingdom,trip verifi british airway total lack respect custom book fli frankfurt main london citi airport coupl hour schedul departur flight suddenli cancel ba without explan alreadi airport worst thing utter callous staff show toward custom ground staff attitud mere third parti agent not ba employe therefor quickli wash hand us tell us contact ba directli via phone want help even provid us phone number tell us look ba com ba abandon passeng tell us ba departur heathrow also cancel mean would ba flight frankfurt london day although airlin still oper rout ba refus rebook us reason given cancel technic reason assist inform provid right due cancel inform help regard food accommod help etc attitud liter cancel noth problem not receiv email hour later notifi automat rebook altern flight hour later accept get back london night rang ba call centr show high degre callous half hour call spent wait hold phone cut half hour meaning inform given point attempt call oper call back line cut solid phone signal wifi still stand termin frankfurt main airport even though phone number list book contact detail care end arrang return london take coach hanh airport km away wait hour book expens last minut ticket ryanair stanst least flight oper time got back london ba wors low cost carrier
54,1,4th September 2023,Iceland,trip verifi london heathrow keflavik iceland busi class british airway provid unusu busi class experi intra europ flight seat similar airlin middl seat vacant littl extra space british airway busi class cabin extend almost half aircraft make less premium experi everi step board onboard wifi work half flight refund work surprisingli fast servic flight good got keflavik time
